,V1,V2,V3,V4
610,0.507,0.451,3.251,1.384
570,1.392,0.664,3.363,0.819
3163,0.935,0.35,2.656,0.856
3601,1.064,0.875,1.31,3.437
343,0.785,0.373,2.217,0.896
3567,1.678,1.412,1.741,1.9863999999999997
3734,0.76,0.775,1.377,1.9072000000000002
434,0.765,0.494,1.854,1.104
1903,1.738,0.772,,0.5094000000000001
97,0.815,0.662,2.464,1.226
3478,3.215,0.822,1.43,0.489
2069,0.76,0.649,3.019,1.702
1537,0.85,0.477,1.411,0.793
2678,1.222,1.169,1.348,2.358
4942,2.007,,2.143,0.862
1517,0.85,0.517,,1.355
965,0.891,0.532,2.621,1.084
4810,1.047,0.716,,1.212
528,0.769,0.684,1.53,0.78
176,0.679,,3.176,1.272
2470,0.863,0.45,1.449,0.485
4295,,0.433,1.444,0.387
3013,1.436,0.484,1.782,0.985
4684,,0.643,1.476,0.795
572,1.355,0.648,,0.857
2732,,0.963,0.895,2.407
592,0.974,,1.041,1.235
4536,0.887,0.752,1.39,0.784
3862,,0.54,1.759,0.9294
2374,,0.791,1.568,0.7
5118,,0.735,1.572,0.761
3819,,0.488,1.952,1.395
4402,2.174,0.436,1.905,1.5244
2208,,0.59,2.124,0.664
3168,0.935,0.35,2.657,0.86
2492,0.852,0.531,1.412,0.428
3269,1.453,0.481,1.844,1.128
383,2.644,0.69,2.084,0.955
852,0.779,0.813,1.313,3.645
1880,0.802,0.49,2.464,4.764
370,0.919,0.747,2.241,0.9608000000000001
5017,,0.476,1.849,1.177
3651,0.881,,,0.845
4714,0.958,0.516,1.856,1.3496
1105,,0.448,1.776,1.004
3049,,0.675,3.02,1.684
2361,0.78,,1.528,0.746
4394,2.184,0.441,1.901,1.52
1336,1.496,0.422,1.806,1.0664
2189,2.603,0.672,2.731,0.9673999999999999
5009,,0.477,1.877,1.124
3968,0.784,0.379,2.668,0.898
2754,,0.919,1.197,3.682
4954,0.816,0.496,1.866,1.05
4482,0.947,0.829,1.296,2.488
5286,2.172,0.504,1.837,1.532
1171,0.799,,1.946,0.881
5392,,0.825,1.289,2.613
3193,2.552,0.655,2.041,0.959
1422,0.883,0.725,1.5,0.748
2686,,0.947,1.239,3.419
5264,2.612,,1.723,1.102
3137,0.782,0.372,2.643,0.864
4535,0.885,0.755,1.386,0.785
1464,1.462,0.772,1.523,1.0378
874,0.854,0.755,1.907,1.3155999999999999
2297,1.537,0.454,1.849,0.9989999999999999
2643,1.417,0.725,,2.084
2760,0.895,0.833,1.227,0.91
4732,0.847,,1.765,1.132
1251,,0.484,2.249,1.118
5322,1.395,0.988,1.459,2.111
840,0.785,0.816,1.294,3.646
3648,0.804,0.818,1.279,0.856
581,1.18,0.587,3.11,1.03
204,,0.467,1.921,1.345
1641,2.38,0.443,,1.304
2014,1.47,,1.774,1.171
905,1.119,0.682,,0.998
631,0.825,0.423,2.644,1.387
3678,0.972,0.687,1.69,1.148
1974,1.048,,1.642,1.16
162,1.174,0.613,1.561,1.034
3815,0.829,0.49,3.206,1.395
3398,1.029,0.567,1.095,1.218
4908,2.579,0.683,,1.019
2942,1.144,,1.596,1.037
617,0.512,0.447,2.642,1.384
875,,0.755,1.398,0.766
1431,0.802,0.777,,0.799
547,0.758,0.779,1.566,0.662
4781,,0.538,1.738,0.958
4961,1.528,,1.801,1.068
4605,,0.546,1.712,1.155
3245,0.804,,1.817,1.053
3700,0.784,0.592,0.855,1.328
4856,,0.789,2.775,1.19
4457,,2.217,,2.2218
1861,0.811,0.528,1.704,1.298
2659,1.406,0.731,1.585,2.1117999999999997
640,0.82,0.403,1.441,0.421
3550,1.964,0.544,1.947,1.73
637,0.826,0.411,2.656,0.6506
5072,,0.729,1.532,0.79
4105,1.494,0.479,1.825,1.277
2308,1.424,0.472,1.813,1.329
4288,,0.467,1.442,0.408
2096,,,2.924,1.553
2941,1.158,0.582,1.59,1.023
3656,,0.779,1.305,0.849
1372,1.298,0.437,1.867,1.245
4486,0.872,0.835,1.283,2.563
921,,0.586,1.72,1.192
546,0.772,0.685,1.564,0.665
1449,0.803,0.793,1.462,0.772
2610,1.646,1.415,1.678,2.0362
1900,,0.513,1.335,0.456
2028,1.377,0.498,1.843,1.056
2301,1.304,0.459,1.836,1.258
1885,0.795,0.515,2.915,0.569
1642,,0.436,1.859,1.321
972,0.882,0.531,,0.572
5243,0.84,0.667,1.596,0.765
2097,,0.738,2.925,1.556
4750,1.125,0.464,1.776,0.57
4947,1.91,0.519,1.893,0.938
4907,2.593,0.688,,1.008
5417,0.825,0.834,1.354,0.787
836,0.786,0.819,1.296,3.651
601,0.568,,0.89,1.387
2184,2.665,0.691,,0.931
4347,,0.608,1.665,0.882
2944,1.121,0.568,1.607,1.067
4696,1.275,0.603,1.571,0.912
1582,3.163,0.587,1.472,0.539
4652,1.685,,1.343,0.521
3002,1.102,0.472,1.759,1.119
5008,1.678,0.477,1.771,1.0952000000000002
1070,0.905,0.494,3.195,1.292
1775,0.776,0.785,1.347,3.62
5242,0.859,0.674,1.589,0.747
1283,1.054,0.552,,1.446
3628,,0.886,1.228,2.644
3891,1.468,0.678,2.296,0.774
5185,0.844,,1.508,1.418
1836,0.923,,1.733,1.186
4626,0.814,0.524,2.471,0.577
1019,,0.722,1.391,0.755
5420,0.808,0.829,1.363,0.764
1326,0.742,,,1.064
475,1.296,0.484,1.825,1.288
4096,1.38,0.465,1.853,1.195
1651,,0.397,1.911,1.423
5066,,0.706,1.557,0.768
4671,0.854,0.651,1.467,0.79
2528,2.916,,1.557,0.775
5450,1.043,0.665,1.106,5.0
3404,0.658,0.529,0.982,1.328
3062,1.437,0.699,2.974,1.158
1373,1.289,0.439,1.864,1.255
739,1.914,0.471,,1.412
4710,0.842,0.537,1.665,1.176
2893,,0.735,1.376,0.599
867,0.774,,1.345,0.789
1140,1.297,0.556,1.734,0.9164000000000001
997,1.751,0.867,1.253,0.5
1337,1.732,0.42,1.808,1.029
541,0.757,0.679,,0.701
1099,1.197,,1.781,1.026
1132,1.37,0.505,2.035,0.567
5290,2.093,0.591,1.855,1.614
3220,2.032,0.559,2.138,0.843
2258,1.488,0.457,1.773,1.067
4414,,0.458,1.935,1.638
59,1.399,,2.876,0.578
3426,0.891,0.49,0.966,1.36
1938,1.46,0.67,1.449,0.716
5171,0.836,0.495,3.22,1.416
5384,,0.843,,2.601
2843,0.808,0.563,1.684,1.174
2813,0.804,,1.559,0.7682
2864,0.795,,2.861,0.6406000000000001
1078,0.866,0.478,3.208,1.336
4130,1.174,0.587,1.695,1.621
3464,0.892,0.469,1.396,0.421
4946,1.93,0.522,1.892,0.923
4650,1.566,0.792,1.333,0.502
2630,1.556,1.414,1.649,2.061
2951,0.586,,1.658,1.164
940,0.895,0.578,1.718,1.215
1080,0.86,,3.21,1.336
187,0.865,0.49,3.206,1.345
3119,0.783,0.87,2.785,0.911
2085,1.002,0.667,2.25,1.013
2249,,0.461,,1.088
3089,0.569,0.769,,1.575
5448,1.08,,1.129,1.007
2023,1.417,0.491,,0.587
3482,3.144,0.792,,0.559
1492,0.99,0.59,3.12,1.219
4196,1.527,0.75,1.595,0.727
226,1.416,0.471,1.775,0.946
4813,1.023,0.733,2.955,1.767
2583,2.003,0.607,1.908,1.6538
1929,1.474,0.67,1.44,0.702
3634,0.813,,1.244,2.672
4902,,0.396,,0.946
1404,1.185,,,0.605
2179,2.739,0.355,2.156,0.88
697,3.082,,1.537,0.622
1124,1.463,0.479,1.995,1.211
3317,0.895,0.707,1.551,1.912
4969,1.523,0.485,1.8,1.069
1778,0.77,0.772,1.348,3.615
2634,1.427,0.72,1.632,2.067
4582,0.827,0.572,,1.286
1037,1.392,0.691,1.419,0.825
5174,0.84,0.492,0.903,1.412
2256,1.494,0.459,1.766,1.069
5389,0.826,0.831,1.283,2.615
313,0.832,0.778,2.798,5.0
2649,1.537,0.729,1.607,2.095
2281,1.69,0.453,,1.078
3094,,0.766,2.891,1.565
2547,2.586,0.59,1.686,1.103
1416,0.982,,,0.688
1036,1.407,,1.413,0.81
2159,1.818,0.341,2.18,0.826
4543,1.331,0.732,1.918,0.79
1754,0.777,0.793,1.322,2.654
3795,,0.539,,1.116
4417,2.021,0.492,,1.679
3199,1.429,0.633,2.052,1.045
2520,3.078,0.754,1.493,0.5916
3814,0.828,0.49,1.772,1.3282
3975,0.908,0.746,2.662,0.893
4078,1.722,0.468,2.603,1.067
1506,0.852,0.526,3.175,1.358
1923,0.902,,1.427,0.667
448,1.702,0.485,,1.094
4030,1.088,0.549,2.139,0.817
2995,1.104,0.472,1.757,1.114
5419,0.805,,1.357,0.783
3480,3.187,0.593,1.445,0.522
361,1.81,0.357,2.164,0.834
2183,2.68,0.394,2.708,0.9895999999999999
1134,1.347,0.513,1.806,0.568
4358,2.78,0.597,1.683,0.929
2155,1.82,0.349,2.645,0.826
1830,0.813,0.602,1.015,1.165
1053,1.098,0.575,3.117,1.104
2460,0.869,0.466,,1.394
22,0.908,0.478,1.7,0.473
2066,,,3.021,0.745
1653,2.243,0.392,1.919,1.438
3066,1.427,0.701,2.972,1.148
4742,1.482,0.469,1.773,1.386
2743,0.823,0.958,1.174,2.7024
3319,0.857,0.721,1.534,0.78
4442,1.524,0.665,1.717,2.02
2468,0.865,0.449,2.616,0.508
2325,1.255,0.511,1.762,0.958
460,1.624,0.478,1.711,1.153
1067,0.91,0.495,3.194,1.295
87,0.983,0.606,2.586,1.052
1430,0.802,0.777,1.445,0.8016
3133,0.779,0.746,2.147,0.874
282,0.622,0.786,2.343,1.869
2483,0.901,,1.404,0.435
462,,0.477,1.695,0.8184000000000001
212,1.198,0.455,1.924,1.034
2588,1.941,0.529,,1.741
3942,,0.8,2.746,5.0
2907,1.344,0.641,1.469,0.846
2581,2.027,0.628,1.898,1.654
1368,1.331,0.429,,1.205
234,1.34,0.491,1.441,1.243
3286,1.476,,1.782,1.303
597,,0.483,0.95,1.325
4827,1.037,0.774,2.378,1.463
2250,,0.461,1.759,0.9808
4439,1.658,1.422,1.75,1.977
2283,1.674,,1.753,1.091
662,,0.477,,0.38
5413,0.808,0.887,,2.2682
2285,1.655,0.451,1.736,1.108
5145,0.763,0.561,1.05,1.266
3796,1.06,0.535,1.649,1.132
4686,1.389,0.643,1.48,0.799
4967,1.527,0.485,1.808,1.067
4964,1.528,0.485,1.809,1.066
779,1.748,1.395,1.964,1.938
2544,2.639,0.627,1.666,1.05
4015,1.348,0.615,2.808,0.599
4072,1.723,0.469,,1.067
3905,0.612,0.764,2.925,1.599
3802,0.967,0.513,1.757,1.237
5178,0.84,0.486,2.614,1.413
5272,2.453,0.525,,1.257
685,,0.761,1.45,0.418
3768,0.851,0.666,1.454,0.712
3259,0.59,0.486,,1.062
4082,1.704,0.466,1.784,1.0874
2837,0.808,0.574,1.654,5.0
2171,0.95,0.341,2.177,0.839
3158,0.939,0.35,2.652,0.856
1850,0.805,,1.687,1.299
487,1.361,0.501,1.79,1.403
1688,1.867,1.381,2.008,1.812
2230,,0.501,1.891,0.925
3878,0.926,0.651,,1.643
2320,1.306,0.496,1.779,0.902
782,1.631,1.406,1.767,1.981
521,,0.69,1.52,0.755
522,0.767,0.687,1.523,0.751
4321,3.203,0.754,1.502,0.503
2939,1.191,0.591,1.544,0.993
4398,2.179,0.436,1.904,1.525
2398,1.413,0.705,2.851,0.7819999999999999
2207,,0.595,2.816,0.646
5433,0.91,0.776,1.359,0.748
780,1.732,1.393,1.954,1.953
4269,0.847,0.431,2.658,0.802
4688,1.382,0.641,1.482,0.806
1511,0.852,0.521,3.174,1.357
1882,,0.49,2.635,0.544
651,,0.396,1.446,0.428
3306,1.111,0.633,1.64,0.9873999999999998
3674,1.051,0.71,1.723,1.069
369,0.93,0.362,,0.86
4772,,0.499,1.617,1.282
3125,0.777,0.754,2.135,4.301
118,0.785,0.665,1.353,0.766
3944,0.77,0.798,2.751,4.334
3612,0.883,0.922,,2.523
2216,1.108,,,0.779
4155,0.788,0.758,,0.846
1613,2.769,0.599,,0.924
2883,,0.774,1.34,0.504
3458,0.887,0.453,1.389,0.437
962,,0.538,2.615,1.094
2510,3.251,0.821,1.424,0.444
4160,0.791,0.757,1.502,0.841
3346,0.768,0.739,,0.774
4093,1.413,0.462,1.864,1.163
3608,0.948,0.903,1.263,2.49
2415,,0.592,3.092,1.153
5075,0.797,0.727,,1.461
4619,0.824,,2.613,0.587
2185,,0.687,2.715,0.941
3935,0.856,0.781,2.347,1.432
2567,2.213,,1.83,1.473
2037,1.28,0.534,1.732,0.8766
4647,1.716,0.793,1.329,0.496
772,1.865,1.406,1.922,1.819
1284,1.032,0.545,,1.464
5019,1.392,,1.845,0.9730000000000001
5167,0.833,0.497,2.62,1.42
2587,,0.522,1.929,0.975
4991,1.525,0.483,2.016,1.073
1414,1.027,0.638,1.608,0.667
1234,0.817,0.482,,1.0097999999999998
3200,1.414,,2.042,1.0882
435,0.76,0.491,1.852,1.109
1674,2.062,0.401,1.991,1.579
365,,0.356,2.239,0.837
3135,1.556,0.386,,0.868
231,1.472,0.483,1.468,1.006
4653,1.669,0.775,,0.533
147,1.473,0.721,,0.739
4801,0.885,0.684,2.167,1.0054
3379,1.397,0.692,2.193,0.856
407,2.21,0.595,2.166,0.7335999999999999
2090,0.641,0.71,2.964,1.092
86,1.001,0.599,2.599,1.031
844,0.784,0.813,1.296,3.644
1031,0.912,0.716,1.396,0.77
4284,0.828,0.408,1.443,0.428
3808,0.863,0.499,1.732,1.35
3229,0.592,,1.876,0.974
2987,0.836,0.482,1.937,1.327
3841,1.446,0.484,1.783,1.117
2628,1.558,1.413,1.782,2.058
4975,1.521,0.484,,1.07
855,0.778,0.812,1.315,3.639
3928,0.976,0.782,2.88,5.0
78,1.152,0.548,2.713,0.878
2992,1.111,0.476,,1.125
2247,0.747,0.463,1.758,1.097
3399,1.01,0.561,1.074,1.237
4985,1.523,,1.81,1.072
5022,1.371,0.481,,0.578
758,1.78,0.598,,1.641
5278,2.332,,1.797,1.374
3454,,0.448,1.415,0.465
2279,,0.455,1.778,1.069
3203,1.359,0.613,1.977,0.9086000000000001
4539,1.338,0.742,1.401,0.7722
4352,,0.606,1.668,0.891
4074,1.723,,,1.067
2176,0.906,0.734,2.174,0.88
424,1.878,0.53,1.865,0.964
392,1.499,,2.059,0.9965999999999999
5155,0.904,0.521,2.582,1.354
5453,0.873,0.642,1.053,1.105
104,0.796,0.665,2.484,1.24
2672,1.315,1.304,1.424,2.272
3529,1.923,0.492,1.815,1.428
3050,0.874,0.683,3.01,1.624
3728,0.761,0.588,2.866,0.589
3331,0.779,0.743,1.51,0.832
1948,1.432,0.653,1.458,0.743
1459,1.463,0.783,2.927,0.751
3871,,0.603,1.93,1.561
3668,1.057,0.741,1.788,0.954
3209,2.245,0.595,2.065,0.674
5223,3.287,0.803,1.451,0.423
1587,3.151,0.604,1.48,0.549
4294,0.83,0.431,1.449,0.387
1731,1.033,0.784,1.381,2.36
5197,0.84,0.451,1.485,0.7554
4256,0.843,0.456,0.906,1.407
182,0.859,0.496,3.203,1.351
1791,0.771,0.768,1.928,0.737
2355,0.783,0.722,1.528,0.755
1940,1.457,0.664,1.451,0.718
702,2.981,0.656,1.572,0.719
2442,,0.495,0.93,1.371
3336,0.778,0.742,1.512,1.48
496,1.223,0.536,1.747,0.998
4247,,0.47,3.245,1.412
464,,0.478,1.865,1.189
3185,2.636,0.684,2.705,0.956
4725,0.854,0.487,1.762,1.361
172,1.009,0.555,3.158,1.2
3654,0.895,0.785,1.325,0.845
5230,3.196,0.586,1.494,0.52
2540,2.709,0.634,1.637,0.979
5100,0.785,0.757,1.608,0.699
3504,2.733,0.673,1.625,0.97
2260,1.493,,1.781,1.066
2112,1.002,0.736,2.923,1.707
900,1.213,0.698,1.277,0.905
1446,0.796,,1.468,0.78
1911,,,1.351,0.477
2697,1.033,,1.155,2.422
3360,1.543,0.753,,0.9870000000000001
741,1.877,0.463,1.849,1.448
2293,1.575,0.452,1.677,1.18
2452,0.588,0.483,2.582,1.374
3106,0.865,0.77,2.82,1.57
4463,1.201,1.319,1.423,2.283
1206,0.861,0.919,1.997,1.408
509,0.979,,1.609,1.801
4534,0.843,0.763,1.383,0.786
4034,1.984,0.533,2.735,0.879
4829,1.034,,,1.556
3936,0.839,0.784,2.791,1.593
1549,0.84,0.463,1.415,0.507
3029,1.295,0.539,1.714,0.941
3882,,0.676,3.023,1.821
2202,1.364,0.617,2.045,1.115
2566,2.231,0.481,1.823,1.455
3262,1.706,,1.89,1.083
2044,1.16,0.576,3.117,1.532
767,1.945,1.426,1.97,1.739
5313,1.557,1.442,1.605,2.141
1508,,0.524,3.18,1.358
421,1.935,,2.175,0.919
123,,0.809,1.342,0.661
4760,1.468,0.475,1.789,0.564
3112,0.781,0.768,2.778,1.607
819,1.025,0.823,1.342,2.419
1403,1.199,0.528,1.757,0.592
1382,1.401,0.458,1.833,0.807
2148,0.775,,,0.845
4601,0.826,0.552,1.701,1.158
1575,,0.991,,0.546
1638,2.433,0.466,,1.255
1795,0.87,0.75,1.426,0.732
5267,2.553,0.548,1.738,1.162
4862,0.792,0.887,2.356,0.935
399,1.369,0.628,2.785,0.59
2310,1.406,,1.81,1.348
882,,0.741,1.409,0.768
5423,0.871,0.798,1.891,0.703
3839,1.464,0.482,1.781,1.175
1352,1.707,0.416,1.937,1.049
3254,1.753,0.489,1.971,1.046
4965,1.525,0.485,1.806,1.066
2130,,0.85,2.792,0.886
982,0.879,0.699,1.277,0.511
456,1.666,0.481,1.993,1.118
1486,1.103,0.633,3.022,1.107
1079,0.863,0.477,3.21,1.338
1950,1.415,0.644,1.467,0.756
4704,1.136,0.567,1.609,1.055
689,3.25,0.746,1.469,0.455
2429,0.859,0.504,3.193,1.379
641,0.82,0.4,2.663,0.461
2392,1.493,0.727,1.563,0.749
2825,0.806,0.581,1.659,1.302
1953,,0.635,1.476,0.778
3260,0.59,0.486,1.913,1.068
3058,1.445,0.695,2.282,1.128
3282,1.529,0.502,1.802,1.1054
4083,,0.466,1.774,1.089
2710,0.862,2.575,0.93,2.546
3964,0.768,0.411,2.658,0.9006000000000001
5199,0.833,0.445,,0.478
3477,3.23,0.832,1.424,0.474
1884,0.797,0.591,2.986,0.537
4233,0.677,0.522,0.99,1.318
389,1.557,0.668,2.043,0.94
2494,0.852,0.873,1.415,0.429
3707,0.784,0.578,1.645,5.0
3036,1.145,0.587,1.828,1.517
3434,0.892,0.475,2.588,1.363
845,,0.812,1.297,3.644
542,0.756,0.682,1.556,0.685
91,0.914,0.632,2.536,1.123
5131,1.261,0.656,,0.997
5361,0.894,2.47,,2.534
1979,0.954,0.528,1.692,1.258
3334,0.778,0.743,,1.48
3150,0.935,0.35,2.654,0.8564
4466,1.17,2.304,1.395,3.323
3447,0.882,0.452,1.438,0.49
3857,1.32,0.512,1.68,0.9
2964,,0.502,3.176,1.217
2529,,0.701,1.565,0.794
1676,2.04,1.401,1.996,1.5652
1048,1.187,0.61,1.571,1.02
2949,,0.543,1.644,1.134
1960,1.288,,1.557,0.886
2530,2.878,0.691,1.572,0.813
5411,0.806,0.863,1.331,3.623
3299,1.245,0.589,1.69,1.017
237,1.421,0.5,1.426,0.84
5310,,1.449,1.63,2.0412
4697,1.262,0.599,1.576,0.929
1133,1.36,0.509,1.625,0.567
2880,0.975,0.776,1.337,0.502
1805,1.378,,1.438,0.735
4522,0.766,0.884,,0.836
163,1.156,,1.573,1.052
4125,,,1.735,1.526
5190,0.84,0.459,1.47,0.821
5137,1.135,0.612,3.084,1.119
3973,0.912,0.745,2.663,0.8896000000000001
4099,1.355,0.469,1.846,0.567
3805,0.855,0.506,,1.293
265,1.173,0.686,3.014,1.585
2001,1.074,,,1.0538
1811,1.306,0.719,1.909,0.808
2978,0.866,0.489,1.788,1.337
3699,0.784,0.594,1.632,1.328
2906,1.36,0.647,1.464,0.832
4614,0.82,0.529,2.45,5.0
1428,0.8,0.78,1.439,0.804
398,1.388,0.632,2.025,1.103
3321,0.819,0.735,1.514,0.798
4040,0.575,0.51,2.664,0.97
3078,0.609,0.77,2.905,1.868
3138,0.777,0.371,2.644,0.862
4871,0.787,0.773,2.128,4.313
5070,0.798,0.731,1.525,2.494
5048,,0.581,1.704,0.652
1452,,0.813,1.467,0.767
593,0.956,0.512,,1.253
2725,,0.972,1.136,2.586
41,1.572,0.471,1.654,0.513
560,1.551,0.734,1.601,0.662
4454,1.318,0.88,1.533,2.171
3619,0.817,0.891,1.222,3.472
243,,0.526,1.579,0.903
3172,0.923,0.743,2.655,0.867
1339,1.731,0.418,,1.028
3297,1.282,,1.704,0.65
3515,2.526,0.58,1.707,1.173
405,,0.604,2.195,0.676
1442,0.795,0.786,1.459,0.79
261,0.994,,1.611,1.575
4794,1.004,0.631,1.937,1.4724
1689,1.852,1.381,2.009,1.6224
1725,1.117,2.255,1.424,3.32
1203,0.907,0.911,2.679,2.356
834,0.784,0.823,,2.657
1866,,0.525,1.697,5.0
2496,0.855,1.032,1.413,0.5312
3016,1.412,,1.794,0.574
4112,1.424,0.492,1.8,0.825
2010,1.471,0.486,1.774,1.17
4419,1.995,1.464,1.948,1.705
340,0.789,0.376,2.208,0.904
3552,1.941,0.522,1.959,1.756
1601,,0.632,1.594,0.767
2796,0.967,0.689,1.005,1.1794
3571,,1.367,1.651,2.069
5121,1.447,0.717,,0.809
480,1.432,0.49,,1.337
3349,0.766,0.749,1.536,0.738
2785,1.169,0.768,1.765,0.937
1523,0.857,0.509,2.573,1.352
4038,1.904,0.517,1.888,0.9274000000000001
4848,0.895,0.782,,1.9785999999999997
5058,1.014,0.646,1.628,0.713
3624,,0.89,1.224,3.675
799,1.3,2.197,1.494,2.627
1766,0.782,0.779,1.326,3.622
4884,0.82,0.371,2.65,0.868
3811,0.824,0.493,1.75,1.161
2453,0.87,0.481,2.584,1.383
3414,0.886,0.502,3.189,1.363
4319,,0.77,1.486,0.467
5447,1.098,,1.163,5.0
5102,0.809,0.779,2.91,0.695
363,1.81,0.356,2.173,0.834
1271,2.258,0.634,1.68,0.698
3660,1.265,0.776,1.338,0.855
4914,,0.577,2.773,1.083
3679,0.95,0.674,1.273,1.8222
5114,1.545,0.753,1.617,0.7009999999999998
4521,0.767,0.89,,3.717
347,0.785,,2.212,0.889
4359,2.767,0.592,1.688,0.9336
5040,1.35,0.532,1.759,0.7527999999999999
2562,2.306,0.496,1.794,1.3764
3027,1.318,,1.679,0.915
5005,,,1.975,1.089
1423,0.867,0.739,1.485,0.763
656,0.804,0.404,1.417,0.386
3809,0.848,0.496,1.74,1.369
5030,1.481,0.495,1.811,1.299
2102,,0.732,2.93,1.091
632,0.825,0.421,2.646,1.3914
3435,0.892,0.473,,1.365
2493,,0.53,1.418,0.9339999999999999
2665,1.36,0.769,1.529,2.15
3825,1.447,0.482,,1.141
4229,1.006,0.551,1.063,1.245
3929,0.96,0.781,2.87,1.425
3682,0.893,0.66,1.575,0.9999999999999998
4726,0.854,,,1.36
2500,3.283,0.469,,0.413
1465,1.456,0.771,1.516,0.757
4262,,0.445,2.644,1.417
115,,0.66,,0.805
1821,1.124,0.67,1.806,0.992
1494,0.775,0.576,3.133,1.256
2401,1.36,0.683,,1.1732
1232,,,2.605,1.42
2661,1.403,0.737,1.574,2.129
2817,0.804,0.609,1.63,1.304
3409,0.568,0.504,3.198,1.361
4988,1.525,0.483,2.594,1.073
1153,1.511,0.676,2.875,1.661
4340,2.859,0.629,1.649,0.8718
57,1.418,0.485,2.885,0.629
4039,1.885,,1.924,0.956
4222,1.132,0.602,3.093,1.118
4674,0.854,,1.467,0.794
5394,0.82,,1.297,2.616
1735,0.988,0.762,1.364,2.407
4920,1.967,0.607,2.478,1.098
2823,0.804,0.584,1.653,1.299
2196,1.476,0.533,2.767,1.007
159,1.233,0.638,1.538,0.9658
2475,0.852,0.444,1.434,0.483
2564,1.931,0.484,1.809,1.4716
4524,,,1.351,0.813
3513,2.566,0.596,1.692,1.136
2608,1.65,1.412,1.686,2.028
4224,1.096,0.587,1.157,1.1764
707,2.885,0.623,1.606,0.814
3046,,0.659,2.109,1.723
4666,,,1.445,0.754
1093,0.85,0.459,1.925,1.086
4635,0.812,0.667,1.323,0.518
1376,1.463,0.445,1.855,1.284
5359,0.922,0.939,1.236,2.509
72,1.256,0.515,2.789,0.771
1922,,0.69,,0.652
5451,,0.657,1.087,1.562
1764,0.78,0.784,1.325,3.623
743,2.209,0.46,1.862,1.48
4190,0.791,0.756,,0.722
1005,0.975,0.827,1.294,0.582
2668,,2.657,1.487,2.2030000000000003
1190,1.122,0.875,1.914,0.891
3792,1.123,0.552,1.625,1.062
2601,,1.41,1.984,1.963
1125,1.468,0.482,1.557,1.217
1241,,0.796,2.608,0.974
3381,1.356,0.676,2.224,0.893
4509,0.78,0.826,1.288,3.667
4283,0.826,0.408,1.448,0.432
998,1.745,0.551,1.255,0.504
4028,1.895,0.557,2.809,0.9052
4428,1.877,1.435,1.966,1.823
2684,1.159,1.179,1.26,2.306
1577,0.758,0.594,1.482,0.549
5224,3.281,0.8,1.455,0.433
1826,0.879,0.635,1.764,1.09
3911,0.6,0.76,,1.523
5441,1.201,0.725,1.268,0.86
4844,0.96,0.808,,1.792
4515,0.78,,1.303,3.72
440,0.773,0.489,1.758,1.134
5400,0.815,0.808,1.305,3.623
1100,1.196,0.448,1.779,0.9946000000000002
2637,1.422,0.724,1.626,2.076
4854,0.795,0.787,2.775,1.283
649,0.81,0.393,1.425,0.421
1546,0.841,0.466,1.394,0.499
3231,0.583,0.519,1.853,1.003
4153,0.784,0.76,1.498,0.847
4169,0.78,0.755,1.505,0.78
4279,0.831,0.413,1.483,0.45
3787,1.203,0.575,1.587,0.973
4272,0.834,0.423,1.469,0.795
630,0.825,0.426,2.642,1.41
672,3.335,0.425,1.421,0.368
1249,1.653,0.476,2.1,1.027
3425,0.891,0.491,2.59,1.356
482,1.412,0.493,,1.356
1584,3.163,0.597,1.474,0.537
3655,1.265,0.782,1.3,0.845
5044,1.279,0.556,1.732,0.625
3616,0.822,0.917,1.223,2.617
1462,,0.775,,0.747
3040,,0.616,1.907,0.992
4384,2.304,0.441,1.862,1.3912
4291,5.0,0.427,1.439,0.396
5431,1.343,0.781,1.378,0.722
3273,1.417,0.485,1.834,1.165
3238,0.802,0.497,1.849,1.071
3131,0.78,,,1.5429999999999997
2578,1.823,0.588,1.885,1.62
4309,3.334,0.801,1.448,0.378
49,1.136,0.471,2.523,1.0484
4675,0.851,0.65,1.467,0.794
3635,0.812,0.881,1.246,3.669
858,0.77,0.803,1.32,3.644
3225,1.939,0.542,1.863,1.1936
1072,0.9,0.491,3.197,1.297
719,2.261,0.598,1.686,1.038
3755,1.533,0.687,1.432,0.6508
2631,1.555,1.418,,2.063
5314,1.545,1.439,1.591,2.154
1660,2.199,0.504,1.948,1.489
1656,2.222,0.386,1.931,1.4774
2425,0.656,0.534,0.966,1.336
4489,0.814,0.84,,2.625
5014,1.431,0.475,1.857,1.157
5424,0.889,0.794,1.893,2.0196
3931,0.925,0.775,2.848,5.0
3097,,0.765,2.887,1.595
5371,,4.409,0.888,2.533
3926,1.205,0.779,2.899,1.375
5183,0.845,0.474,2.618,1.2544
3189,2.598,0.461,2.105,0.989
2934,1.266,,1.546,0.9348000000000001
4505,0.786,0.833,1.283,2.667
5366,,3.658,0.938,2.599
2606,1.653,,1.712,2.026
1385,1.371,0.465,1.823,0.833
4332,,0.668,1.592,0.714
1399,1.245,0.507,1.78,0.7352000000000001
1195,1.036,0.908,2.372,1.574
1408,1.121,0.573,1.708,0.612
1845,0.859,0.563,1.701,1.25
1798,1.38,0.758,,0.73
1475,1.309,0.71,2.99,0.903
3826,1.101,0.481,1.956,1.14
35,1.618,0.473,,0.478
4434,1.79,1.43,1.982,1.912
