,A1,A2,A3,A4,A5,A6,A7,A8,A9
8287,79.0,-3.0,84.0,0.0,-38.0,0.0,4.0,123.0,118.0
29604,56.0,0.0,,8.0,0.0,3.0,24.0,79.0,
17341,56.0,0.0,79.0,0.0,16.0,19.0,23.0,63.0,40.0
21151,37.0,0.0,77.0,,16.0,-21.0,41.0,62.0,22.0
7670,45.0,,86.0,5.0,46.0,21.0,41.0,40.0,0.0
22452,102.0,0.0,103.0,0.0,70.0,-11.0,1.0,33.0,32.0
33762,37.0,0.0,96.0,-7.0,36.0,,59.0,60.0,2.0
52557,,0.0,86.0,0.0,54.0,10.0,33.0,32.0,0.0
4600,,,79.0,0.0,50.0,1.0,30.0,30.0,0.0
17454,76.0,-41.0,88.0,-2.0,8.0,0.0,13.0,81.0,68.0
52660,48.0,5.0,88.0,-6.0,46.0,0.0,40.0,41.0,2.0
3817,37.0,-4.0,76.0,,20.0,0.0,39.0,55.0,16.0
43606,37.0,0.0,77.0,0.0,-20.0,6.0,41.0,98.0,58.0
22127,51.0,0.0,86.0,0.0,52.0,21.0,35.0,35.0,0.0
31432,43.0,0.0,82.0,-3.0,42.0,0.0,,,2.0
39123,47.0,3.0,79.0,2.0,46.0,0.0,31.0,32.0,0.0
23674,41.0,2.0,85.0,0.0,42.0,7.0,44.0,44.0,0.0
48705,37.0,-2.0,77.0,0.0,0.0,9.0,40.0,77.0,36.0
26379,53.0,-1.0,86.0,0.0,52.0,-27.0,33.0,34.0,2.0
26871,57.0,,86.0,2.0,56.0,0.0,29.0,29.0,0.0
31058,55.0,-4.0,99.0,0.0,50.0,0.0,44.0,50.0,
37587,55.0,0.0,78.0,-6.0,16.0,0.0,23.0,63.0,40.0
29870,55.0,0.0,93.0,0.0,38.0,-8.0,37.0,54.0,16.0
30030,47.0,0.0,79.0,6.0,46.0,,32.0,32.0,0.0
17379,51.0,-1.0,85.0,0.0,50.0,-5.0,34.0,36.0,2.0
36078,37.0,0.0,96.0,0.0,,11.0,59.0,75.0,16.0
54984,85.0,0.0,88.0,-2.0,2.0,-9.0,3.0,86.0,82.0
50123,56.0,-4.0,83.0,0.0,56.0,7.0,27.0,26.0,0.0
53905,41.0,0.0,87.0,,38.0,-2.0,,48.0,2.0
21513,56.0,1.0,86.0,3.0,56.0,4.0,31.0,30.0,0.0
12375,37.0,0.0,79.0,0.0,10.0,-14.0,42.0,68.0,26.0
23267,46.0,5.0,88.0,0.0,44.0,-27.0,42.0,44.0,2.0
26551,42.0,3.0,86.0,0.0,42.0,0.0,44.0,44.0,0.0
28975,56.0,4.0,98.0,0.0,,-2.0,42.0,59.0,18.0
11830,37.0,0.0,77.0,5.0,36.0,2.0,,41.0,0.0
22383,,0.0,83.0,5.0,42.0,1.0,,42.0,0.0
52817,,0.0,97.0,2.0,52.0,28.0,41.0,45.0,4.0
1241,55.0,-3.0,98.0,0.0,52.0,1.0,42.0,46.0,4.0
33799,44.0,,85.0,0.0,42.0,-24.0,41.0,44.0,2.0
24691,37.0,0.0,106.0,0.0,28.0,1.0,68.0,77.0,8.0
43607,50.0,-2.0,111.0,0.0,50.0,0.0,61.0,,0.0
23373,38.0,0.0,80.0,0.0,38.0,7.0,42.0,41.0,0.0
2565,37.0,-2.0,78.0,3.0,0.0,3.0,41.0,78.0,36.0
18882,55.0,-1.0,98.0,5.0,42.0,1.0,42.0,57.0,14.0
41398,37.0,0.0,77.0,0.0,34.0,3.0,41.0,44.0,
12920,37.0,0.0,77.0,0.0,18.0,5.0,40.0,59.0,18.0
5995,56.0,0.0,96.0,0.0,42.0,8.0,40.0,55.0,14.0
55408,37.0,0.0,,6.0,34.0,0.0,39.0,42.0,2.0
29530,40.0,0.0,86.0,0.0,42.0,31.0,46.0,45.0,0.0
27641,48.0,-2.0,,0.0,50.0,22.0,33.0,32.0,0.0
9182,46.0,0.0,77.0,0.0,44.0,-30.0,32.0,34.0,2.0
39640,37.0,0.0,103.0,0.0,24.0,3.0,66.0,80.0,14.0
32437,37.0,0.0,77.0,0.0,36.0,10.0,39.0,41.0,2.0
45103,37.0,-4.0,76.0,0.0,36.0,,39.0,40.0,0.0
42053,50.0,-1.0,84.0,0.0,50.0,0.0,35.0,35.0,0.0
1199,83.0,0.0,86.0,0.0,,-23.0,3.0,94.0,90.0
55531,56.0,-2.0,84.0,0.0,56.0,0.0,28.0,27.0,0.0
32326,37.0,0.0,,0.0,26.0,,52.0,64.0,12.0
53108,55.0,0.0,78.0,0.0,6.0,25.0,23.0,,50.0
1692,46.0,0.0,82.0,0.0,46.0,2.0,36.0,35.0,0.0
57252,55.0,0.0,77.0,5.0,-22.0,1.0,21.0,100.0,78.0
34477,55.0,-1.0,81.0,0.0,-6.0,-30.0,25.0,,64.0
40202,105.0,-1.0,106.0,-2.0,72.0,1.0,1.0,33.0,32.0
46523,50.0,1.0,85.0,0.0,50.0,0.0,35.0,36.0,0.0
43216,37.0,1.0,90.0,0.0,20.0,0.0,52.0,69.0,16.0
4435,37.0,1.0,81.0,0.0,36.0,-2.0,43.0,44.0,2.0
56188,49.0,0.0,,0.0,50.0,16.0,58.0,58.0,0.0
14823,37.0,0.0,77.0,6.0,36.0,0.0,39.0,41.0,2.0
28639,37.0,0.0,,0.0,16.0,9.0,55.0,77.0,22.0
32228,37.0,-1.0,77.0,6.0,-2.0,0.0,39.0,79.0,40.0
45663,56.0,0.0,95.0,-1.0,46.0,6.0,40.0,49.0,10.0
40425,55.0,-1.0,92.0,-3.0,24.0,-7.0,37.0,69.0,32.0
46242,45.0,0.0,86.0,-4.0,,-15.0,,42.0,2.0
32480,53.0,-4.0,88.0,0.0,54.0,,34.0,33.0,0.0
55549,55.0,0.0,77.0,2.0,,11.0,22.0,106.0,84.0
9013,44.0,0.0,,-1.0,44.0,14.0,37.0,37.0,0.0
49333,45.0,,83.0,0.0,44.0,-1.0,38.0,39.0,
2988,55.0,0.0,78.0,0.0,46.0,24.0,23.0,32.0,8.0
2689,103.0,0.0,104.0,0.0,70.0,0.0,,34.0,34.0
57765,51.0,4.0,79.0,0.0,50.0,-15.0,,30.0,2.0
40852,37.0,0.0,80.0,-1.0,36.0,-22.0,43.0,44.0,2.0
44284,47.0,-4.0,76.0,0.0,46.0,0.0,28.0,29.0,0.0
16952,37.0,0.0,94.0,1.0,12.0,11.0,57.0,81.0,24.0
32882,49.0,0.0,106.0,-3.0,46.0,-21.0,57.0,59.0,2.0
41965,55.0,-1.0,86.0,-5.0,56.0,,31.0,30.0,0.0
9529,55.0,0.0,99.0,0.0,50.0,15.0,43.0,49.0,6.0
15409,42.0,4.0,83.0,0.0,42.0,0.0,,42.0,2.0
23618,49.0,0.0,106.0,,46.0,-29.0,57.0,59.0,2.0
22592,56.0,1.0,76.0,-3.0,-14.0,39.0,20.0,92.0,72.0
40789,55.0,0.0,92.0,0.0,-4.0,6.0,36.0,97.0,60.0
34527,58.0,0.0,96.0,-7.0,56.0,0.0,38.0,39.0,2.0
30886,,0.0,97.0,,,31.0,41.0,53.0,
47508,56.0,-1.0,77.0,-4.0,24.0,-13.0,22.0,54.0,32.0
35765,37.0,0.0,76.0,0.0,34.0,-9.0,38.0,42.0,4.0
42182,39.0,3.0,93.0,-4.0,38.0,0.0,55.0,55.0,0.0
25579,,0.0,80.0,0.0,52.0,1.0,29.0,28.0,0.0
14800,51.0,4.0,86.0,0.0,52.0,10.0,,34.0,
31054,,0.0,82.0,-38.0,44.0,,37.0,38.0,0.0
24061,55.0,0.0,82.0,0.0,-20.0,12.0,26.0,103.0,76.0
15098,,,86.0,0.0,46.0,-24.0,38.0,40.0,2.0
50932,37.0,0.0,77.0,0.0,18.0,-8.0,40.0,59.0,18.0
20055,41.0,-3.0,81.0,0.0,38.0,-25.0,40.0,42.0,2.0
46471,43.0,0.0,84.0,-2.0,42.0,-5.0,41.0,43.0,2.0
552,42.0,4.0,86.0,0.0,42.0,0.0,43.0,44.0,2.0
40298,55.0,2.0,77.0,0.0,26.0,-1.0,22.0,52.0,30.0
12227,49.0,-2.0,84.0,0.0,46.0,-25.0,36.0,38.0,2.0
40845,51.0,-2.0,86.0,0.0,,-4.0,35.0,37.0,2.0
11193,45.0,1.0,108.0,0.0,44.0,-12.0,62.0,64.0,2.0
15095,56.0,0.0,97.0,0.0,52.0,19.0,41.0,45.0,4.0
37512,37.0,0.0,84.0,0.0,26.0,-3.0,47.0,58.0,12.0
52377,37.0,0.0,104.0,0.0,16.0,-7.0,67.0,89.0,
9888,42.0,0.0,79.0,-3.0,42.0,-5.0,37.0,38.0,2.0
33606,53.0,0.0,82.0,,54.0,19.0,29.0,28.0,0.0
51957,44.0,0.0,82.0,,44.0,7.0,38.0,38.0,0.0
46826,37.0,0.0,76.0,5.0,28.0,0.0,39.0,48.0,8.0
27020,40.0,5.0,79.0,0.0,38.0,0.0,38.0,40.0,2.0
16533,46.0,4.0,87.0,,46.0,0.0,41.0,41.0,0.0
5243,37.0,0.0,77.0,-1.0,18.0,25.0,40.0,59.0,18.0
50966,56.0,0.0,95.0,0.0,42.0,-29.0,40.0,54.0,14.0
415,50.0,-3.0,81.0,0.0,50.0,0.0,31.0,,2.0
49260,,0.0,78.0,0.0,44.0,27.0,22.0,,12.0
23258,37.0,0.0,97.0,-1.0,,-1.0,60.0,71.0,12.0
46189,105.0,,106.0,2.0,72.0,8.0,1.0,33.0,32.0
6486,49.0,5.0,106.0,0.0,46.0,-3.0,58.0,60.0,2.0
34930,46.0,4.0,76.0,-4.0,46.0,0.0,29.0,29.0,0.0
13872,45.0,0.0,77.0,0.0,46.0,25.0,32.0,31.0,0.0
8611,49.0,0.0,,0.0,46.0,-20.0,34.0,36.0,2.0
8330,56.0,0.0,87.0,0.0,54.0,-26.0,,33.0,2.0
8431,39.0,0.0,78.0,-6.0,38.0,0.0,39.0,39.0,0.0
45376,42.0,0.0,88.0,6.0,42.0,0.0,46.0,,0.0
1432,55.0,-2.0,91.0,0.0,54.0,0.0,36.0,37.0,0.0
10615,37.0,0.0,105.0,-3.0,24.0,0.0,68.0,82.0,14.0
38113,49.0,0.0,86.0,0.0,46.0,-11.0,38.0,40.0,2.0
37796,51.0,0.0,78.0,0.0,50.0,-7.0,27.0,29.0,2.0
20299,56.0,3.0,76.0,0.0,-18.0,-2.0,20.0,94.0,74.0
29607,55.0,0.0,81.0,-2.0,-14.0,-4.0,26.0,97.0,70.0
50999,45.0,1.0,93.0,0.0,44.0,,49.0,50.0,0.0
43069,44.0,,81.0,0.0,44.0,20.0,37.0,37.0,0.0
37340,48.0,0.0,86.0,0.0,50.0,17.0,38.0,37.0,0.0
11160,37.0,0.0,77.0,0.0,18.0,-3.0,40.0,59.0,18.0
5177,50.0,0.0,77.0,-2.0,50.0,-3.0,27.0,28.0,0.0
27262,37.0,1.0,77.0,0.0,36.0,,39.0,41.0,2.0
10466,46.0,4.0,82.0,-1.0,46.0,0.0,36.0,35.0,0.0
1963,44.0,2.0,85.0,0.0,42.0,-17.0,41.0,44.0,2.0
48436,56.0,0.0,76.0,0.0,-10.0,0.0,20.0,86.0,66.0
5446,37.0,0.0,76.0,-2.0,30.0,20.0,39.0,45.0,6.0
17469,,2.0,78.0,-1.0,42.0,0.0,36.0,37.0,2.0
6674,79.0,0.0,83.0,-2.0,-40.0,0.0,4.0,125.0,120.0
40122,44.0,0.0,85.0,,44.0,13.0,41.0,41.0,0.0
31545,37.0,0.0,75.0,0.0,28.0,506.0,38.0,46.0,8.0
29602,,3.0,97.0,0.0,46.0,17.0,41.0,,
8955,44.0,0.0,87.0,0.0,42.0,-14.0,43.0,46.0,2.0
27397,37.0,0.0,81.0,1.0,38.0,14.0,43.0,42.0,0.0
4271,43.0,,,0.0,42.0,-7.0,34.0,,2.0
48261,81.0,-4.0,86.0,-4.0,-40.0,0.0,4.0,127.0,122.0
17038,,-6.0,83.0,0.0,46.0,0.0,36.0,36.0,0.0
1702,105.0,0.0,106.0,0.0,70.0,-30.0,1.0,36.0,36.0
44636,56.0,0.0,77.0,0.0,-20.0,-19.0,21.0,97.0,76.0
45045,,0.0,,0.0,-24.0,-15.0,4.0,112.0,108.0
25513,41.0,0.0,87.0,3.0,38.0,-11.0,46.0,48.0,2.0
9554,53.0,1.0,85.0,0.0,54.0,0.0,32.0,31.0,0.0
9454,37.0,0.0,90.0,-2.0,36.0,0.0,52.0,53.0,2.0
43331,42.0,2.0,96.0,0.0,42.0,0.0,54.0,55.0,0.0
24730,51.0,-3.0,79.0,0.0,52.0,0.0,,27.0,
17694,37.0,0.0,95.0,2.0,16.0,0.0,58.0,79.0,22.0
8104,37.0,-75.0,112.0,105.0,34.0,14.0,75.0,78.0,4.0
39440,37.0,0.0,,0.0,30.0,-20.0,71.0,77.0,6.0
55235,39.0,-5.0,79.0,0.0,38.0,0.0,39.0,40.0,0.0
4089,37.0,-1.0,94.0,0.0,34.0,0.0,57.0,61.0,4.0
24248,57.0,-1.0,92.0,8.0,56.0,0.0,34.0,35.0,0.0
31693,49.0,0.0,101.0,0.0,50.0,11.0,52.0,52.0,0.0
16506,37.0,,79.0,0.0,8.0,2.0,42.0,71.0,30.0
16444,49.0,1.0,82.0,0.0,50.0,20.0,33.0,33.0,0.0
43775,51.0,3.0,86.0,0.0,50.0,-12.0,35.0,37.0,2.0
39102,55.0,0.0,79.0,6.0,16.0,15.0,23.0,63.0,40.0
35324,49.0,0.0,79.0,0.0,46.0,,,33.0,2.0
5962,41.0,,83.0,-1.0,38.0,-10.0,42.0,44.0,2.0
24,45.0,-1.0,87.0,-2.0,44.0,-4.0,43.0,43.0,0.0
2451,81.0,0.0,86.0,8.0,-40.0,7.0,5.0,127.0,122.0
26626,37.0,0.0,83.0,0.0,0.0,,46.0,83.0,36.0
56825,53.0,2.0,87.0,0.0,52.0,0.0,34.0,35.0,2.0
22378,37.0,3.0,77.0,0.0,,10.0,40.0,41.0,0.0
50824,46.0,2.0,86.0,-1.0,46.0,10.0,41.0,40.0,0.0
9131,55.0,0.0,95.0,-1.0,52.0,-12.0,,44.0,4.0
13162,37.0,0.0,108.0,19.0,26.0,-1.0,71.0,82.0,12.0
41810,38.0,1.0,92.0,0.0,12.0,10.0,54.0,,24.0
6141,43.0,0.0,109.0,-3.0,42.0,-3.0,66.0,67.0,2.0
10040,37.0,0.0,77.0,0.0,-20.0,-1.0,41.0,98.0,58.0
8882,37.0,0.0,80.0,0.0,10.0,23.0,43.0,70.0,26.0
55220,102.0,1.0,103.0,0.0,70.0,-5.0,1.0,33.0,32.0
29251,37.0,0.0,95.0,0.0,16.0,6.0,58.0,79.0,22.0
7307,80.0,0.0,84.0,4.0,-24.0,7.0,,110.0,106.0
20301,53.0,0.0,80.0,0.0,54.0,25.0,27.0,26.0,0.0
54819,82.0,0.0,86.0,,-10.0,3.0,3.0,96.0,92.0
44318,52.0,-1.0,88.0,1.0,52.0,-3.0,35.0,36.0,0.0
54504,56.0,4.0,96.0,,54.0,16.0,40.0,42.0,2.0
37463,55.0,0.0,96.0,-2.0,38.0,-3.0,41.0,57.0,16.0
300,56.0,0.0,82.0,0.0,56.0,10.0,26.0,25.0,0.0
45466,78.0,1.0,83.0,1.0,-40.0,13.0,4.0,124.0,120.0
57596,39.0,1.0,85.0,-1.0,38.0,0.0,46.0,46.0,0.0
52794,57.0,2.0,86.0,0.0,56.0,0.0,30.0,30.0,0.0
25888,39.0,2.0,80.0,-2.0,38.0,-3.0,41.0,41.0,0.0
47627,48.0,0.0,84.0,0.0,46.0,,,38.0,2.0
21290,56.0,5.0,78.0,2.0,44.0,0.0,22.0,34.0,12.0
6781,106.0,2.0,108.0,1.0,70.0,0.0,1.0,38.0,36.0
17578,56.0,0.0,96.0,-2.0,46.0,,40.0,50.0,10.0
11811,48.0,0.0,,0.0,46.0,0.0,28.0,30.0,2.0
41188,56.0,2.0,87.0,0.0,56.0,1.0,31.0,30.0,0.0
18096,55.0,-5.0,78.0,0.0,16.0,0.0,23.0,63.0,40.0
14906,45.0,0.0,81.0,0.0,46.0,,35.0,34.0,0.0
6751,,-1.0,85.0,0.0,54.0,-2.0,30.0,,2.0
22064,55.0,0.0,96.0,6.0,38.0,0.0,41.0,57.0,16.0
28947,37.0,0.0,97.0,1.0,10.0,0.0,59.0,86.0,
29091,37.0,0.0,77.0,0.0,8.0,6.0,40.0,69.0,28.0
48192,37.0,-1.0,79.0,-4.0,,0.0,42.0,61.0,18.0
52963,50.0,5.0,,0.0,50.0,0.0,37.0,38.0,0.0
53541,79.0,0.0,83.0,2.0,-42.0,-16.0,5.0,127.0,122.0
3078,37.0,0.0,79.0,0.0,8.0,-8.0,43.0,72.0,28.0
36317,56.0,-2.0,92.0,,54.0,0.0,36.0,38.0,2.0
3209,,1.0,83.0,0.0,44.0,-2.0,37.0,39.0,2.0
17637,44.0,0.0,88.0,0.0,44.0,3.0,44.0,44.0,0.0
7466,46.0,0.0,88.0,6.0,46.0,9.0,43.0,42.0,0.0
41179,45.0,0.0,81.0,-1.0,44.0,-2.0,36.0,37.0,0.0
33207,55.0,0.0,95.0,0.0,54.0,29.0,40.0,41.0,2.0
10316,50.0,0.0,,-5.0,,0.0,35.0,36.0,0.0
30351,37.0,-5.0,76.0,0.0,38.0,12.0,39.0,37.0,0.0
21977,53.0,0.0,90.0,0.0,54.0,0.0,37.0,36.0,0.0
6891,56.0,2.0,96.0,0.0,52.0,-3.0,40.0,44.0,4.0
31944,55.0,0.0,77.0,0.0,12.0,30.0,21.0,64.0,42.0
28914,48.0,3.0,86.0,,46.0,0.0,38.0,40.0,2.0
48881,55.0,-1.0,95.0,0.0,56.0,31.0,40.0,39.0,0.0
38840,37.0,0.0,81.0,0.0,20.0,-25.0,44.0,60.0,
12190,37.0,0.0,80.0,-6.0,36.0,-16.0,43.0,44.0,2.0
6774,37.0,0.0,78.0,0.0,-4.0,-8.0,41.0,83.0,42.0
52068,37.0,0.0,76.0,-7.0,36.0,0.0,39.0,39.0,0.0
68,49.0,3.0,82.0,0.0,46.0,-8.0,33.0,35.0,
13175,56.0,-5.0,86.0,0.0,56.0,0.0,31.0,30.0,0.0
49010,37.0,0.0,79.0,0.0,34.0,-3.0,41.0,45.0,4.0
31012,47.0,-1.0,76.0,,46.0,0.0,29.0,30.0,0.0
47913,56.0,0.0,97.0,0.0,52.0,-22.0,40.0,45.0,4.0
57349,41.0,1.0,79.0,0.0,42.0,7.0,38.0,38.0,0.0
16192,37.0,0.0,79.0,0.0,8.0,-13.0,42.0,71.0,30.0
49557,43.0,3.0,86.0,0.0,42.0,0.0,43.0,45.0,2.0
35137,45.0,-49.0,79.0,2.0,0.0,0.0,33.0,79.0,46.0
30353,49.0,-1.0,83.0,,46.0,-9.0,34.0,36.0,2.0
7312,48.0,0.0,88.0,4.0,46.0,-8.0,40.0,42.0,2.0
17057,45.0,-2.0,78.0,-7.0,46.0,20.0,33.0,32.0,0.0
27924,49.0,3.0,79.0,0.0,50.0,13.0,31.0,30.0,0.0
4279,79.0,0.0,83.0,-2.0,-46.0,0.0,4.0,129.0,126.0
15378,43.0,0.0,86.0,0.0,42.0,-11.0,43.0,45.0,2.0
19954,44.0,1.0,81.0,,44.0,5.0,38.0,37.0,0.0
40598,81.0,3.0,84.0,0.0,-14.0,-2.0,3.0,99.0,96.0
33864,46.0,4.0,81.0,0.0,,8.0,35.0,34.0,0.0
1982,45.0,0.0,76.0,0.0,44.0,-5.0,,32.0,2.0
40036,49.0,0.0,88.0,,50.0,17.0,40.0,39.0,0.0
29753,49.0,-1.0,86.0,0.0,50.0,15.0,38.0,37.0,0.0
7966,44.0,1.0,81.0,4.0,44.0,22.0,37.0,37.0,0.0
12215,37.0,0.0,76.0,-3.0,36.0,15.0,38.0,39.0,2.0
11624,51.0,3.0,87.0,1.0,52.0,10.0,36.0,35.0,0.0
43636,37.0,5.0,79.0,0.0,,0.0,42.0,61.0,20.0
6798,39.0,0.0,81.0,1.0,38.0,0.0,42.0,43.0,0.0
9140,46.0,,88.0,-1.0,46.0,10.0,43.0,42.0,0.0
21285,55.0,0.0,77.0,0.0,20.0,,22.0,57.0,34.0
10826,48.0,0.0,88.0,-4.0,46.0,-9.0,39.0,41.0,2.0
14760,37.0,0.0,97.0,0.0,,-15.0,60.0,71.0,12.0
28634,45.0,,76.0,0.0,44.0,-15.0,30.0,32.0,2.0
38794,52.0,3.0,79.0,0.0,52.0,0.0,27.0,27.0,0.0
17361,58.0,-4.0,108.0,0.0,56.0,0.0,50.0,,2.0
4803,55.0,0.0,92.0,,30.0,-29.0,37.0,61.0,24.0
34274,41.0,0.0,82.0,,38.0,-4.0,41.0,43.0,
42415,45.0,0.0,79.0,1.0,46.0,18.0,34.0,33.0,0.0
51899,85.0,0.0,89.0,1.0,6.0,20.0,4.0,84.0,80.0
33781,39.0,5.0,79.0,2.0,38.0,0.0,39.0,40.0,0.0
23119,49.0,0.0,85.0,0.0,46.0,-13.0,36.0,39.0,2.0
37469,46.0,-4.0,87.0,-1.0,46.0,0.0,41.0,41.0,0.0
52483,56.0,4.0,97.0,0.0,,-3.0,41.0,51.0,10.0
8149,43.0,0.0,85.0,-3.0,42.0,-38.0,,44.0,2.0
25437,37.0,0.0,75.0,0.0,,,38.0,46.0,
47283,106.0,0.0,108.0,-2.0,70.0,-2.0,1.0,38.0,
34401,37.0,0.0,106.0,0.0,24.0,,69.0,,14.0
18637,37.0,2.0,81.0,-5.0,-4.0,0.0,44.0,86.0,42.0
55324,37.0,0.0,76.0,0.0,28.0,9.0,40.0,,8.0
40949,46.0,3.0,87.0,1.0,46.0,0.0,41.0,41.0,0.0
40069,37.0,0.0,75.0,0.0,24.0,-23.0,38.0,52.0,
17283,39.0,0.0,83.0,,38.0,0.0,44.0,44.0,0.0
10148,56.0,3.0,83.0,0.0,56.0,1.0,26.0,26.0,0.0
52412,37.0,0.0,76.0,0.0,20.0,24.0,40.0,55.0,
3801,37.0,,93.0,0.0,12.0,10.0,55.0,80.0,24.0
40326,57.0,0.0,,2.0,56.0,0.0,24.0,24.0,0.0
57385,56.0,-1.0,97.0,0.0,52.0,2.0,41.0,45.0,4.0
5614,37.0,5.0,79.0,-2.0,34.0,-3.0,42.0,46.0,4.0
25898,42.0,5.0,77.0,0.0,,0.0,35.0,35.0,0.0
42325,46.0,0.0,81.0,-7.0,46.0,1.0,,35.0,0.0
42149,56.0,4.0,80.0,-1.0,-4.0,5.0,24.0,85.0,62.0
19875,56.0,-2.0,92.0,5.0,,-13.0,36.0,37.0,2.0
38786,55.0,0.0,77.0,,42.0,24.0,22.0,36.0,14.0
57449,55.0,0.0,96.0,0.0,42.0,-26.0,41.0,55.0,14.0
56243,37.0,0.0,81.0,3.0,20.0,0.0,44.0,60.0,16.0
36498,,0.0,106.0,-3.0,34.0,1.0,68.0,72.0,4.0
36226,37.0,0.0,106.0,0.0,20.0,-11.0,69.0,85.0,16.0
45721,54.0,-3.0,,0.0,54.0,0.0,34.0,33.0,0.0
26571,37.0,5.0,77.0,0.0,36.0,0.0,,41.0,0.0
54521,44.0,-5.0,76.0,-1.0,44.0,0.0,32.0,32.0,0.0
52808,55.0,0.0,77.0,0.0,0.0,-27.0,22.0,77.0,56.0
36079,,,81.0,0.0,44.0,4.0,37.0,37.0,0.0
42276,51.0,1.0,80.0,0.0,50.0,0.0,29.0,31.0,2.0
36288,,-1.0,77.0,-4.0,38.0,-6.0,38.0,38.0,0.0
50006,49.0,-1.0,78.0,0.0,50.0,10.0,29.0,29.0,0.0
34570,55.0,0.0,,0.0,-14.0,-5.0,21.0,92.0,70.0
47537,49.0,0.0,77.0,,50.0,26.0,,28.0,0.0
54301,84.0,0.0,88.0,-1.0,6.0,-3.0,4.0,,78.0
28774,43.0,0.0,85.0,0.0,42.0,-1.0,42.0,44.0,2.0
34256,37.0,0.0,81.0,0.0,38.0,7.0,44.0,43.0,0.0
47763,56.0,5.0,86.0,0.0,54.0,-15.0,30.0,32.0,2.0
11140,41.0,4.0,81.0,,42.0,3.0,40.0,40.0,0.0
28512,37.0,0.0,78.0,0.0,24.0,-26.0,41.0,55.0,
18429,55.0,0.0,81.0,-5.0,-10.0,0.0,26.0,92.0,66.0
52385,53.0,0.0,91.0,0.0,54.0,6.0,38.0,37.0,0.0
55664,55.0,,99.0,0.0,42.0,0.0,43.0,57.0,
37547,44.0,5.0,83.0,-5.0,44.0,18.0,39.0,39.0,0.0
51207,53.0,3.0,82.0,0.0,52.0,-6.0,29.0,30.0,2.0
31321,42.0,3.0,84.0,1.0,42.0,0.0,42.0,43.0,0.0
30941,46.0,0.0,76.0,4.0,44.0,-30.0,30.0,32.0,2.0
16302,44.0,0.0,79.0,0.0,42.0,-12.0,35.0,37.0,2.0
27607,56.0,1.0,86.0,0.0,56.0,0.0,30.0,30.0,0.0
16960,49.0,0.0,,0.0,50.0,17.0,28.0,28.0,0.0
42937,46.0,0.0,79.0,0.0,,-22.0,33.0,35.0,2.0
47131,37.0,0.0,106.0,-6.0,,0.0,69.0,70.0,0.0
54361,47.0,0.0,78.0,7.0,46.0,0.0,31.0,32.0,0.0
37694,37.0,0.0,97.0,-1.0,18.0,-1.0,60.0,79.0,18.0
1646,47.0,0.0,88.0,-2.0,,0.0,40.0,41.0,0.0
43317,45.0,0.0,83.0,5.0,,0.0,38.0,39.0,2.0
49534,55.0,0.0,81.0,-2.0,-12.0,9.0,26.0,94.0,68.0
55174,43.0,0.0,79.0,-6.0,,29.0,35.0,35.0,0.0
2177,37.0,0.0,106.0,7.0,,0.0,68.0,88.0,20.0
12222,37.0,0.0,78.0,0.0,20.0,24.0,42.0,57.0,16.0
34603,50.0,0.0,90.0,1.0,50.0,0.0,,41.0,2.0
19636,53.0,3.0,81.0,0.0,52.0,-11.0,28.0,29.0,2.0
44961,82.0,-1.0,86.0,0.0,-4.0,-8.0,3.0,91.0,88.0
16983,40.0,0.0,80.0,-2.0,38.0,11.0,40.0,41.0,
41557,55.0,-2.0,93.0,0.0,52.0,0.0,38.0,42.0,4.0
44628,55.0,0.0,81.0,0.0,56.0,29.0,26.0,24.0,0.0
51859,56.0,0.0,108.0,1.0,54.0,-12.0,52.0,53.0,2.0
2438,55.0,0.0,95.0,-2.0,36.0,0.0,39.0,59.0,
6203,41.0,1.0,79.0,0.0,38.0,-21.0,38.0,41.0,2.0
33585,55.0,-4.0,96.0,0.0,54.0,0.0,41.0,42.0,2.0
23089,79.0,-2.0,84.0,0.0,-40.0,16.0,4.0,125.0,120.0
11063,56.0,0.0,95.0,-4.0,44.0,2.0,39.0,51.0,12.0
38318,50.0,1.0,84.0,0.0,50.0,0.0,34.0,35.0,
35160,55.0,0.0,93.0,-7.0,46.0,-24.0,37.0,46.0,
32532,,0.0,92.0,0.0,,-10.0,37.0,59.0,22.0
4373,55.0,0.0,97.0,0.0,,-20.0,42.0,51.0,8.0
14078,54.0,-3.0,82.0,0.0,,0.0,28.0,28.0,0.0
57182,41.0,0.0,88.0,0.0,38.0,-23.0,48.0,50.0,2.0
46748,,-1.0,79.0,-5.0,44.0,-7.0,34.0,35.0,0.0
5728,54.0,0.0,87.0,7.0,54.0,0.0,33.0,33.0,0.0
32503,37.0,0.0,80.0,0.0,,7.0,43.0,72.0,30.0
3576,38.0,5.0,90.0,0.0,36.0,-14.0,52.0,53.0,2.0
55380,41.0,0.0,76.0,0.0,42.0,4.0,35.0,35.0,0.0
45275,43.0,0.0,96.0,0.0,,-4.0,53.0,55.0,2.0
46965,45.0,-1.0,86.0,0.0,46.0,7.0,41.0,40.0,0.0
50974,55.0,0.0,95.0,0.0,46.0,-23.0,,49.0,8.0
7717,49.0,3.0,80.0,0.0,46.0,-6.0,31.0,34.0,2.0
19180,54.0,-8.0,77.0,-22.0,-2.0,0.0,23.0,80.0,56.0
