,V1,V2,V3,V4
3137,0.782,0.372,2.643,0.864
4535,0.885,0.755,1.386,0.785
1464,1.462,0.772,1.523,0.752
874,0.854,0.755,1.907,0.766
2297,1.537,0.454,1.849,1.219
2643,,0.725,1.618,2.084
2760,,0.833,1.227,0.91
4732,0.847,0.481,1.765,1.132
1251,1.616,0.484,2.249,1.118
5322,1.395,0.988,1.459,2.111
840,,0.816,1.294,3.646
3648,,0.818,1.279,
581,1.18,0.587,3.11,1.03
204,0.854,0.467,,1.345
1641,2.38,0.443,1.851,1.304
2014,1.47,0.485,1.774,1.171
905,1.119,0.682,1.8,0.998
631,,0.423,2.644,1.387
3678,0.972,0.687,1.69,1.148
1974,1.048,0.543,1.642,1.16
162,1.174,,1.561,1.034
3815,0.829,0.49,3.206,1.395
3398,,0.567,1.095,1.218
4908,2.579,0.683,2.183,1.019
2942,,0.578,1.596,1.037
617,0.512,0.447,2.642,1.384
875,0.894,0.755,1.398,0.766
1431,0.802,0.777,1.443,0.799
547,0.758,0.779,1.566,
4781,1.282,0.538,1.738,0.958
4961,1.528,0.486,1.801,1.068
4605,0.828,0.546,1.712,1.155
3245,,0.493,1.817,1.053
3700,0.784,0.592,,1.328
4856,0.79,0.789,2.775,1.19
4457,1.277,2.217,,2.203
1861,0.811,0.528,1.704,
2659,,,1.585,2.111
640,0.82,0.403,1.441,0.47
3550,1.964,0.544,1.947,1.73
637,0.826,0.411,2.656,
5072,0.794,0.729,1.532,0.79
4105,,0.479,1.825,1.277
2308,1.424,0.472,1.813,1.329
4288,0.83,0.467,1.442,0.408
2096,0.548,0.74,2.924,
2941,1.158,0.582,1.59,1.023
3656,1.269,0.779,1.305,0.849
1372,1.298,0.437,1.867,1.245
4486,0.872,0.835,1.283,2.563
921,0.919,0.586,1.72,1.192
546,0.772,0.685,1.564,0.665
1449,0.803,,1.462,0.772
2610,1.646,1.415,1.678,2.032
1900,0.945,0.513,1.335,0.456
2028,1.377,0.498,1.843,1.056
2301,1.304,,1.836,1.258
1885,0.795,0.515,2.915,0.569
1642,2.363,0.436,1.859,1.321
972,0.882,0.531,2.885,0.572
5243,0.84,0.667,1.596,0.765
2097,0.544,0.738,,1.556
4750,1.125,0.464,1.776,0.57
4947,1.91,,1.893,0.938
4907,2.593,0.688,2.151,1.008
5417,,0.834,1.354,0.787
836,0.786,0.819,,3.651
601,0.568,0.462,0.89,1.387
2184,2.665,0.691,2.713,0.931
4347,2.826,0.608,1.665,
2944,1.121,0.568,1.607,1.067
4696,1.275,0.603,1.571,0.912
1582,3.163,0.587,1.472,0.539
4652,1.685,0.78,1.343,
3002,1.102,0.472,1.759,
5008,1.678,,1.771,1.115
1070,0.905,0.494,3.195,1.292
1775,0.776,,1.347,3.62
5242,0.859,0.674,1.589,0.747
1283,1.054,0.552,1.931,1.446
3628,0.814,0.886,1.228,2.644
3891,1.468,0.678,2.296,0.774
5185,0.844,0.471,1.508,
1836,0.923,0.58,,1.186
4626,0.814,0.524,,0.577
1019,1.462,0.722,,
5420,,0.829,1.363,0.764
1326,0.742,0.427,1.787,1.064
475,,0.484,,1.288
4096,1.38,0.465,1.853,1.195
1651,1.749,,1.911,1.423
5066,0.864,0.706,1.557,0.768
4671,0.854,0.651,1.467,0.79
2528,2.916,0.694,1.557,0.775
5450,1.043,0.665,1.106,5.0
3404,0.658,0.529,0.982,1.328
3062,1.437,0.699,2.974,1.158
1373,1.289,0.439,1.864,1.255
739,,,1.835,1.412
4710,0.842,0.537,1.665,1.176
2893,1.598,,1.376,0.599
867,0.774,0.789,1.345,0.789
1140,,0.556,1.734,0.635
997,,0.867,1.253,0.5
1337,1.732,,1.808,1.029
541,0.757,0.679,,0.701
1099,1.197,0.448,1.781,1.026
1132,,0.505,2.035,0.567
5290,,0.591,,1.614
3220,2.032,0.559,,0.843
2258,1.488,0.457,1.773,1.067
4414,2.062,,1.935,1.638
59,,0.485,2.876,0.578
3426,0.891,0.49,,1.36
1938,1.46,0.67,1.449,0.716
5171,0.836,0.495,3.22,1.416
5384,0.822,,,2.601
2843,0.808,0.563,1.684,1.174
2813,0.804,0.612,1.559,1.306
2864,,0.539,2.861,0.579
1078,,0.478,,1.336
4130,1.174,0.587,1.695,1.621
3464,0.892,0.469,1.396,
4946,1.93,0.522,1.892,0.923
4650,1.566,0.792,1.333,0.502
2630,1.556,1.414,1.649,2.061
2951,,0.529,1.658,1.164
940,,0.578,1.718,1.215
1080,0.86,0.476,3.21,1.336
187,0.865,0.49,3.206,1.345
3119,0.783,0.87,,0.911
2085,1.002,0.667,2.25,1.013
2249,0.747,0.461,1.757,1.088
3089,0.569,0.769,2.889,1.575
5448,1.08,0.678,1.129,1.007
2023,,0.491,1.782,0.587
3482,3.144,0.792,1.46,0.559
1492,0.99,0.59,,1.219
4196,1.527,0.75,1.595,
226,1.416,0.471,1.775,0.946
4813,1.023,0.733,2.955,1.767
2583,2.003,0.607,1.908,1.678
1929,1.474,0.67,1.44,0.702
3634,0.813,0.97,1.244,2.672
4902,2.678,0.396,2.121,0.946
1404,1.185,0.536,1.746,0.605
2179,,0.355,2.156,0.88
697,3.082,0.71,,0.622
1124,1.463,0.479,,1.211
3317,0.895,0.707,1.551,1.912
4969,1.523,0.485,,1.069
1778,0.77,0.772,1.348,3.615
2634,1.427,0.72,,
4582,0.827,0.572,0.893,
1037,1.392,0.691,,0.825
5174,0.84,0.492,0.903,1.412
2256,1.494,0.459,1.766,1.069
5389,0.826,0.831,1.283,2.615
313,0.832,0.778,2.798,
2649,1.537,0.729,1.607,2.095
2281,,0.453,1.766,1.078
3094,0.996,0.766,2.891,1.565
2547,2.586,0.59,1.686,1.103
1416,,0.657,1.578,0.688
1036,1.407,0.697,1.413,0.81
2159,1.818,0.341,2.18,0.826
4543,,0.732,1.918,0.79
1754,0.777,,1.322,2.654
3795,1.074,,1.644,
4417,2.021,0.492,1.942,
3199,1.429,0.633,2.052,
2520,3.078,0.754,,0.615
3814,0.828,0.49,1.772,1.395
3975,0.908,0.746,2.662,0.893
4078,1.722,,2.603,1.067
1506,0.852,0.526,3.175,
1923,0.902,0.684,1.427,0.667
448,1.702,0.485,1.772,1.094
4030,1.088,,2.139,0.817
2995,,0.472,1.757,1.114
5419,0.805,0.823,1.357,0.783
3480,3.187,0.593,1.445,0.522
361,1.81,0.357,2.164,0.834
2183,,0.394,2.708,0.92
1134,,0.513,1.806,0.568
4358,2.78,,1.683,0.929
2155,1.82,,2.645,0.826
1830,0.813,0.602,1.015,1.165
1053,1.098,0.575,,1.104
2460,,,2.599,1.394
22,0.908,0.478,,0.473
2066,0.76,0.651,3.021,0.745
1653,2.243,0.392,1.919,1.438
3066,1.427,,2.972,1.148
4742,1.482,0.469,1.773,1.386
2743,0.823,0.958,1.174,2.652
3319,0.857,0.721,1.534,0.78
4442,1.524,0.665,1.717,
2468,,0.449,2.616,0.508
2325,1.255,0.511,1.762,0.958
460,1.624,0.478,,1.153
1067,0.91,0.495,3.194,1.295
87,0.983,0.606,,1.052
1430,0.802,0.777,1.445,0.8
3133,0.779,0.746,2.147,0.874
282,,0.786,,
2483,,0.452,1.404,0.435
462,1.603,0.477,1.695,1.172
212,1.198,0.455,1.924,
2588,1.941,0.529,1.934,1.741
3942,0.769,0.8,,5.0
2907,1.344,0.641,1.469,0.846
2581,2.027,0.628,1.898,1.654
1368,,0.429,1.88,1.205
234,1.34,0.491,1.441,1.243
3286,1.476,0.515,1.782,1.303
597,,0.483,0.95,1.325
4827,1.037,0.774,2.378,
2250,0.749,0.461,1.759,1.08
4439,1.658,1.422,1.75,1.977
2283,1.674,,1.753,1.091
662,0.805,0.477,1.422,0.38
5413,0.808,0.887,,3.687
2285,1.655,0.451,1.736,1.108
5145,0.763,0.561,1.05,1.266
3796,1.06,0.535,1.649,1.132
4686,1.389,0.643,1.48,0.799
4967,1.527,0.485,,1.067
4964,1.528,0.485,1.809,
779,1.748,1.395,1.964,
2544,2.639,0.627,1.666,1.05
4015,1.348,0.615,2.808,0.599
4072,1.723,0.469,2.6,1.067
3905,0.612,0.764,,1.599
3802,0.967,0.513,,1.237
5178,0.84,0.486,2.614,1.413
5272,2.453,0.525,,1.257
685,,0.761,1.45,
3768,0.851,0.666,1.454,0.712
3259,0.59,0.486,1.919,1.062
4082,1.704,0.466,1.784,1.082
2837,0.808,0.574,,5.0
2171,,0.341,2.177,0.839
3158,0.939,,2.652,0.856
1850,0.805,0.541,1.687,1.299
487,1.361,0.501,1.79,1.403
1688,1.867,,2.008,1.812
2230,1.9,0.501,1.891,0.925
3878,0.926,0.651,2.091,1.643
2320,1.306,,1.779,0.902
782,1.631,1.406,1.767,1.981
521,,0.69,,0.755
522,0.767,0.687,1.523,0.751
4321,3.203,0.754,,0.503
2939,1.191,,1.544,0.993
4398,2.179,0.436,1.904,1.525
2398,1.413,0.705,2.851,0.833
2207,1.272,0.595,2.816,
5433,0.91,0.776,1.359,0.748
780,1.732,1.393,1.954,1.953
4269,,,2.658,0.802
4688,1.382,,1.482,0.806
1511,0.852,0.521,3.174,1.357
1882,0.804,0.49,2.635,
651,,0.396,,0.428
3306,1.111,0.633,1.64,0.709
3674,1.051,,1.723,1.069
369,0.93,0.362,,0.86
4772,1.306,0.499,1.617,
3125,0.777,,2.135,4.301
118,,,,0.766
3944,0.77,0.798,2.751,4.334
3612,0.883,0.922,1.242,2.523
2216,1.108,,2.157,0.779
4155,0.788,0.758,1.505,0.846
1613,2.769,0.599,1.673,0.924
2883,,,1.34,0.504
3458,,0.453,1.389,0.437
962,0.892,0.538,2.615,
2510,,0.821,1.424,0.444
4160,0.791,0.757,1.502,0.841
3346,0.768,0.739,1.527,0.774
4093,1.413,0.462,1.864,1.163
3608,0.948,0.903,1.263,2.49
2415,1.087,0.592,3.092,1.153
5075,0.797,0.727,1.533,1.461
4619,,0.526,2.613,0.587
2185,2.652,0.687,2.715,0.941
3935,0.856,0.781,2.347,1.432
2567,2.213,,,1.473
2037,1.28,,1.732,0.953
4647,1.716,,,0.496
772,1.865,,1.922,1.819
1284,1.032,0.545,1.898,1.464
5019,1.392,0.478,1.845,1.197
5167,0.833,,2.62,1.42
2587,1.954,0.522,1.929,1.728
4991,1.525,0.483,2.016,1.073
1414,1.027,0.638,1.608,0.667
1234,0.817,0.482,2.681,1.027
3200,1.414,0.626,2.042,
435,0.76,,1.852,1.109
1674,2.062,0.401,1.991,1.618
365,1.81,0.356,2.239,0.837
3135,1.556,0.386,2.646,0.868
231,,0.483,1.468,1.006
4653,1.669,0.775,1.349,
147,1.473,0.721,1.397,
4801,0.885,0.684,2.167,1.556
3379,1.397,0.692,2.193,0.856
407,,0.595,2.166,0.706
2090,0.641,,2.964,1.092
86,1.001,0.599,2.599,1.031
844,0.784,0.813,,3.644
1031,0.912,0.716,1.396,0.77
4284,,0.408,1.443,0.428
3808,0.863,0.499,1.732,
3229,0.592,0.527,1.876,0.974
2987,0.836,0.482,1.937,1.139
3841,1.446,0.484,1.783,1.117
2628,1.558,1.413,1.782,2.058
4975,1.521,0.484,1.806,1.07
855,0.778,0.812,1.315,3.639
3928,0.976,,2.88,5.0
78,1.152,0.548,2.713,0.878
2992,1.111,0.476,1.76,1.125
2247,0.747,0.463,1.758,
3399,1.01,0.561,1.074,1.237
4985,1.523,0.483,1.81,1.072
5022,1.371,0.481,1.834,0.578
758,1.78,0.598,1.93,1.641
5278,2.332,0.501,1.797,
3454,0.876,0.448,1.415,0.465
2279,1.702,0.455,,1.069
3203,1.359,0.613,1.977,0.582
4539,1.338,0.742,1.401,0.787
4352,2.817,0.606,1.668,0.891
4074,1.723,0.468,2.594,1.067
2176,0.906,0.734,2.174,
424,,0.53,1.865,0.964
392,1.499,0.655,2.059,0.991
5155,0.904,,2.582,1.354
5453,0.873,0.642,1.053,1.105
104,0.796,0.665,,1.24
2672,1.315,1.304,1.424,2.272
3529,1.923,,1.815,1.428
3050,0.874,0.683,3.01,1.624
3728,0.761,0.588,2.866,0.589
3331,0.779,0.743,1.51,0.832
1948,1.432,0.653,1.458,0.743
1459,1.463,0.783,2.927,0.751
3871,1.06,0.603,1.93,1.561
3668,1.057,,1.788,0.954
3209,2.245,0.595,2.065,0.674
5223,3.287,0.803,1.451,0.423
1587,3.151,0.604,1.48,0.549
4294,0.83,0.431,1.449,0.387
1731,1.033,,1.381,2.36
5197,0.84,0.451,1.485,0.484
4256,0.843,0.456,0.906,1.407
182,0.859,,3.203,1.351
1791,0.771,0.768,,0.737
2355,0.783,0.722,1.528,0.755
1940,1.457,0.664,1.451,0.718
702,2.981,,1.572,0.719
2442,0.867,0.495,0.93,
3336,,,1.512,1.48
496,1.223,0.536,1.747,0.998
4247,0.834,0.47,3.245,
464,1.584,0.478,1.865,1.189
3185,,0.684,2.705,0.956
4725,0.854,0.487,1.762,1.361
172,1.009,0.555,3.158,1.2
3654,0.895,0.785,1.325,0.845
5230,3.196,0.586,1.494,
2540,2.709,0.634,1.637,0.979
5100,0.785,0.757,1.608,0.699
3504,2.733,0.673,,0.97
2260,1.493,0.456,,
2112,1.002,0.736,2.923,1.707
900,1.213,0.698,1.277,0.905
1446,0.796,0.827,1.468,0.78
1911,1.709,0.76,1.351,
2697,1.033,1.01,1.155,
3360,1.543,0.753,1.606,0.707
741,1.877,0.463,1.849,1.448
2293,1.575,0.452,,1.18
2452,,0.483,2.582,1.374
3106,0.865,0.77,2.82,1.57
4463,1.201,1.319,1.423,2.283
1206,0.861,0.919,1.997,1.408
509,0.979,0.615,1.609,1.801
4534,0.843,0.763,1.383,0.786
4034,1.984,0.533,2.735,0.879
4829,1.034,0.775,2.375,1.556
3936,,,2.791,1.593
1549,0.84,0.463,1.415,0.507
3029,1.295,0.539,1.714,0.941
3882,0.853,0.676,3.023,1.821
2202,1.364,0.617,2.045,1.115
2566,2.231,0.481,1.823,1.455
3262,1.706,0.483,1.89,1.083
2044,1.16,0.576,,1.532
767,1.945,,1.97,1.739
5313,1.557,,1.605,2.141
1508,0.584,0.524,,1.358
421,1.935,0.541,2.175,0.919
123,0.807,0.809,,0.661
4760,,,1.789,0.564
3112,0.781,,2.778,1.607
819,1.025,0.823,1.342,2.419
1403,1.199,,1.757,0.592
1382,1.401,0.458,,0.807
2148,,0.36,2.161,
4601,0.826,0.552,1.701,1.158
1575,0.758,0.991,1.485,0.546
1638,2.433,0.466,1.825,1.255
1795,0.87,0.75,1.426,0.732
5267,2.553,0.548,1.738,1.162
4862,0.792,0.887,2.356,0.935
399,1.369,0.628,2.785,0.59
2310,1.406,0.476,1.81,1.348
882,1.346,0.741,1.409,0.768
5423,,0.798,1.891,
3839,1.464,0.482,,1.175
1352,1.707,0.416,1.937,
3254,1.753,0.489,1.971,1.046
4965,,0.485,1.806,1.066
2130,0.776,0.85,2.792,0.886
982,0.879,0.699,,0.511
456,1.666,0.481,1.993,1.118
1486,1.103,0.633,3.022,1.107
1079,0.863,,,1.338
1950,1.415,0.644,1.467,0.756
4704,1.136,0.567,1.609,1.055
689,3.25,0.746,1.469,0.455
2429,,0.504,3.193,1.379
641,0.82,0.4,2.663,0.461
2392,1.493,0.727,1.563,0.749
2825,0.806,0.581,1.659,1.302
1953,1.391,0.635,1.476,0.778
3260,0.59,0.486,1.913,1.068
3058,,0.695,2.282,1.128
3282,1.529,0.502,1.802,1.25
4083,,0.466,1.774,1.089
2710,0.862,2.575,0.93,2.546
3964,0.768,0.411,2.658,0.91
5199,0.833,0.445,1.448,0.478
3477,3.23,0.832,1.424,0.474
1884,0.797,0.591,,0.537
4233,0.677,0.522,0.99,1.318
389,1.557,0.668,2.043,0.94
2494,0.852,0.873,1.415,0.429
3707,0.784,0.578,1.645,5.0
3036,1.145,0.587,1.828,1.517
3434,0.892,0.475,2.588,1.363
845,,0.812,1.297,3.644
542,0.756,0.682,1.556,0.685
91,0.914,0.632,2.536,1.123
5131,1.261,,,0.997
5361,0.894,2.47,0.957,
1979,0.954,,1.692,1.258
3334,0.778,0.743,1.511,1.48
3150,0.935,0.35,2.654,0.854
4466,1.17,2.304,1.395,3.323
3447,0.882,0.452,1.438,0.49
3857,,0.512,1.68,0.9
2964,0.971,0.502,,
2529,2.897,0.701,1.565,0.794
1676,2.04,1.401,1.996,1.642
1048,1.187,0.61,1.571,1.02
2949,0.596,0.543,1.644,1.134
1960,1.288,0.605,1.557,0.886
2530,2.878,0.691,1.572,
5411,0.806,0.863,1.331,3.623
3299,1.245,0.589,1.69,
237,1.421,,,0.84
5310,1.598,1.449,1.63,
4697,1.262,0.599,1.576,
1133,1.36,0.509,1.625,0.567
2880,0.975,0.776,,
1805,1.378,0.737,1.438,0.735
4522,0.766,0.884,1.316,0.836
163,1.156,0.607,1.573,1.052
4125,1.262,0.549,,1.526
5190,,0.459,1.47,0.821
5137,1.135,0.612,3.084,1.119
3973,0.912,0.745,2.663,0.889
4099,1.355,0.469,1.846,0.567
3805,0.855,0.506,1.713,1.293
265,1.173,0.686,3.014,1.585
2001,1.074,,1.962,
1811,1.306,0.719,1.909,0.808
2978,0.866,0.489,1.788,1.337
3699,0.784,0.594,1.632,1.328
2906,,,1.464,0.832
4614,0.82,0.529,2.45,5.0
1428,,0.78,1.439,0.804
398,,0.632,2.025,1.103
3321,0.819,0.735,1.514,0.798
4040,0.575,0.51,2.664,0.97
3078,0.609,0.77,2.905,1.868
3138,0.777,0.371,2.644,0.862
4871,0.787,0.773,2.128,4.313
5070,0.798,0.731,,2.494
5048,1.207,0.581,1.704,0.652
1452,0.795,0.813,1.467,0.767
593,,0.512,1.022,1.253
2725,0.82,0.972,1.136,2.586
41,,0.471,,0.513
560,1.551,0.734,1.601,
4454,,,1.533,2.171
3619,0.817,0.891,1.222,3.677
243,,0.526,1.579,0.903
3172,0.923,0.743,2.655,0.867
1339,1.731,0.418,1.817,1.028
3297,1.282,0.576,1.704,0.65
3515,2.526,0.58,1.707,1.173
405,2.249,0.604,2.195,
1442,,0.786,1.459,0.79
261,0.994,,1.611,1.575
4794,1.004,0.631,1.937,1.57
1689,,1.381,2.009,1.827
1725,1.117,2.255,1.424,3.32
1203,0.907,0.911,2.679,2.356
834,0.784,0.823,1.295,2.657
1866,0.811,0.525,1.697,5.0
2496,0.855,1.032,1.413,0.42
3016,1.412,,1.794,0.574
4112,,0.492,1.8,0.825
2010,1.471,0.486,1.774,1.17
4419,,1.464,,1.705
340,0.789,0.376,2.208,0.904
3552,1.941,0.522,1.959,1.756
1601,2.928,0.632,1.594,0.767
2796,0.967,0.689,1.005,1.141
3571,1.559,1.367,1.651,2.069
5121,1.447,0.717,2.964,
480,1.432,0.49,1.81,1.337
3349,0.766,0.749,1.536,0.738
2785,1.169,0.768,,0.937
1523,0.857,0.509,2.573,1.352
4038,,0.517,1.888,0.94
4848,0.895,0.782,,1.552
5058,1.014,0.646,1.628,0.713
3624,0.817,0.89,,3.675
799,1.3,2.197,1.494,2.627
1766,0.782,0.779,,3.622
4884,0.82,,2.65,0.868
3811,0.824,0.493,,1.161
2453,0.87,0.481,2.584,1.383
3414,0.886,0.502,3.189,1.363
4319,3.242,0.77,1.486,0.467
5447,,0.686,1.163,5.0
5102,,0.779,2.91,0.695
363,1.81,,2.173,0.834
1271,,0.634,1.68,0.698
3660,1.265,0.776,1.338,0.855
4914,0.723,0.577,2.773,1.083
3679,0.95,0.674,,1.167
5114,1.545,0.753,1.617,0.713
4521,0.767,,1.314,3.717
347,,0.371,2.212,0.889
4359,2.767,0.592,1.688,0.942
5040,,0.532,1.759,0.606
2562,2.306,0.496,1.794,1.381
3027,,0.527,,0.915
5005,1.707,0.48,,1.089
1423,0.867,0.739,1.485,0.763
656,0.804,0.404,1.417,0.386
3809,0.848,0.496,1.74,1.369
5030,1.481,0.495,,1.299
2102,0.549,0.732,2.93,1.091
632,,0.421,2.646,1.388
3435,0.892,0.473,,1.365
2493,0.852,0.53,1.418,0.427
2665,1.36,0.769,1.529,
3825,1.447,0.482,1.952,1.141
4229,1.006,0.551,,1.245
3929,0.96,0.781,,1.425
3682,0.893,,1.575,1.223
4726,0.854,0.486,1.759,1.36
2500,3.283,,1.405,0.413
1465,1.456,0.771,1.516,0.757
4262,0.834,0.445,2.644,1.417
115,0.788,0.66,2.747,0.805
1821,1.124,0.67,1.806,0.992
1494,0.775,0.576,3.133,1.256
2401,1.36,0.683,,0.886
1232,0.818,0.837,2.605,1.42
2661,1.403,0.737,1.574,
2817,0.804,0.609,1.63,1.304
3409,0.568,0.504,3.198,1.361
4988,1.525,0.483,2.594,1.073
1153,1.511,0.676,,1.661
4340,2.859,0.629,1.649,0.844
57,1.418,0.485,,0.629
4039,1.885,0.513,1.924,0.956
4222,1.132,0.602,3.093,1.118
4674,0.854,0.65,1.467,0.794
5394,0.82,0.822,1.297,2.616
1735,0.988,,1.364,
4920,1.967,0.607,2.478,1.098
2823,0.804,0.584,1.653,1.299
2196,1.476,0.533,,1.007
159,1.233,0.638,,0.976
2475,0.852,0.444,1.434,
2564,1.931,0.484,1.809,
4524,0.769,0.822,1.351,0.813
3513,2.566,0.596,1.692,1.136
2608,1.65,1.412,1.686,
4224,1.096,0.587,1.157,
707,2.885,0.623,1.606,0.814
3046,,0.659,,1.723
4666,0.858,0.672,1.445,0.754
1093,0.85,0.459,1.925,1.086
4635,0.812,0.667,1.323,0.518
1376,1.463,0.445,1.855,1.284
5359,0.922,0.939,1.236,2.509
72,1.256,0.515,2.789,0.771
1922,,0.69,1.421,0.652
5451,1.024,0.657,1.087,1.562
1764,0.78,0.784,1.325,3.623
743,2.209,0.46,1.862,1.48
4190,0.791,0.756,1.597,0.722
1005,0.975,0.827,1.294,0.582
2668,1.329,2.657,,
1190,1.122,0.875,1.914,0.891
3792,,,1.625,
2601,1.717,1.41,1.984,
1125,1.468,0.482,1.557,1.217
1241,1.713,0.796,2.608,0.974
3381,1.356,0.676,2.224,0.893
4509,0.78,0.826,1.288,3.667
4283,0.826,0.408,1.448,0.432
998,1.745,0.551,1.255,0.504
4028,1.895,0.557,2.809,0.788
4428,1.877,1.435,1.966,1.823
2684,1.159,1.179,1.26,2.306
1577,0.758,0.594,1.482,0.549
5224,3.281,,1.455,0.433
1826,0.879,,1.764,1.09
3911,0.6,0.76,2.926,1.523
5441,1.201,0.725,1.268,0.86
4844,,0.808,2.87,1.792
4515,0.78,0.834,1.303,3.72
440,0.773,,1.758,1.134
5400,0.815,,1.305,3.623
1100,1.196,,,1.003
2637,1.422,0.724,,2.076
4854,0.795,0.787,2.775,1.283
649,0.81,0.393,1.425,0.421
1546,0.841,0.466,1.394,0.499
3231,0.583,0.519,1.853,1.003
4153,0.784,0.76,1.498,0.847
4169,0.78,0.755,1.505,0.78
4279,,0.413,1.483,0.45
3787,1.203,,1.587,0.973
4272,0.834,0.423,1.469,0.795
630,0.825,0.426,2.642,1.41
672,3.335,0.425,1.421,
1249,1.653,0.476,2.1,1.027
3425,0.891,0.491,2.59,
482,1.412,0.493,1.805,1.356
1584,3.163,,1.474,0.537
3655,,0.782,1.3,0.845
5044,1.279,0.556,1.732,0.625
3616,0.822,,1.223,
1462,1.467,0.775,1.531,0.747
3040,1.061,0.616,1.907,0.992
4384,2.304,0.441,1.862,1.404
4291,5.0,0.427,1.439,0.396
5431,1.343,0.781,1.378,0.722
3273,1.417,,1.834,1.165
3238,0.802,,1.849,1.071
3131,0.78,0.747,2.802,0.879
2578,1.823,0.588,1.885,1.62
4309,3.334,0.801,,
49,1.136,,2.523,0.578
4675,0.851,0.65,1.467,0.794
3635,0.812,0.881,1.246,
858,0.77,,1.32,3.644
3225,,,1.863,0.917
1072,0.9,0.491,3.197,1.297
719,2.261,0.598,1.686,1.038
3755,,0.687,1.432,0.647
2631,1.555,1.418,1.647,2.063
5314,1.545,1.439,1.591,
1660,2.199,0.504,1.948,1.489
1656,2.222,,1.931,1.46
2425,0.656,0.534,0.966,1.336
4489,0.814,0.84,1.275,2.625
5014,,0.475,1.857,
5424,0.889,0.794,1.893,
3931,0.925,0.775,2.848,5.0
3097,0.985,0.765,,1.595
5371,,4.409,0.888,2.533
3926,1.205,0.779,2.899,
5183,0.845,0.474,2.618,1.416
3189,2.598,0.461,2.105,
2934,1.266,,1.546,0.922
4505,0.786,0.833,1.283,2.667
5366,0.823,3.658,0.938,2.599
2606,1.653,1.419,,2.026
1385,1.371,0.465,1.823,0.833
4332,2.994,0.668,1.592,
1399,1.245,0.507,,
1195,1.036,,2.372,1.574
1408,1.121,0.573,1.708,0.612
1845,,0.563,1.701,1.25
1798,1.38,0.758,,
1475,1.309,0.71,2.99,0.903
3826,1.101,0.481,1.956,
35,1.618,,1.695,0.478
4434,1.79,1.43,1.982,1.912
2345,0.899,0.664,1.593,1.334
4323,3.168,0.741,1.518,0.54
3312,0.991,0.67,1.596,0.741
2359,0.781,0.724,1.527,0.75
3006,1.493,0.474,1.764,1.047
2206,1.287,,2.814,0.631
3806,0.898,0.503,1.72,1.312
5204,0.828,0.458,1.452,0.454
3179,1.704,0.371,2.149,0.909
3422,0.889,0.495,3.191,1.357
1286,0.991,0.534,,1.496
349,0.788,0.37,2.139,0.888
3416,,0.501,,1.358
2137,,0.745,2.144,5.0
2691,1.096,1.186,1.193,2.557
3541,2.071,0.483,1.9,1.622
3715,0.779,,2.392,5.0
1681,1.973,1.391,2.002,1.708
4430,1.848,1.433,1.919,1.853
1443,,0.789,1.458,
3856,,0.508,1.664,1.06
3215,2.126,0.575,,0.769
1671,2.094,0.388,1.984,1.586
4818,0.617,0.772,2.921,1.597
1179,1.415,0.812,2.905,0.833
2798,0.928,0.674,0.966,1.177
1692,1.811,1.384,1.937,1.87
4355,2.809,0.6,,0.9
372,0.905,0.742,2.16,0.882
3055,1.088,0.694,2.98,1.218
5201,0.831,,1.445,0.46
1916,0.908,0.732,1.379,0.549
1357,1.657,0.416,1.919,1.093
1825,0.899,,1.773,1.07
786,1.557,1.387,1.698,
469,1.541,0.479,1.843,1.228
140,1.576,0.759,1.356,
788,1.581,1.387,,2.064
323,0.791,0.765,2.787,1.278
50,1.128,0.472,2.518,0.588
714,2.471,0.589,1.652,0.946
4901,1.693,0.389,2.7,0.934
2840,0.808,0.569,1.673,
2446,0.869,0.491,0.937,1.37
5247,2.876,0.643,1.626,0.835
4043,0.574,0.498,1.87,1.016
4825,1.041,0.772,2.915,1.091
5011,1.65,0.475,1.868,1.139
4236,0.606,0.498,0.934,1.373
2666,1.35,5.0,1.515,2.159
406,2.23,0.599,2.143,0.691
4265,0.846,0.439,2.648,1.414
1004,,0.835,1.286,
3574,1.555,1.358,1.631,2.109
890,1.336,0.738,1.401,0.776
2411,1.167,0.618,3.051,1.077
2545,2.621,0.603,1.673,1.068
4084,0.57,0.465,1.771,1.095
2390,,0.731,1.581,0.734
4391,2.214,,1.891,1.493
42,1.562,0.47,1.646,0.523
2830,0.807,0.58,1.651,1.306
3932,0.909,0.776,,5.0
3371,,0.733,1.592,0.732
3022,1.299,0.504,1.618,0.856
3364,,0.745,1.611,0.707
303,0.968,0.777,2.39,1.624
4927,1.275,0.597,,
11,,0.469,2.31,0.465
664,0.805,0.479,1.431,0.378
1177,1.264,0.811,1.891,0.837
3292,1.372,0.546,1.739,0.62
2676,1.28,1.268,1.38,2.329
1947,0.894,0.659,1.456,0.736
2501,3.281,0.478,1.408,0.412
1473,1.345,0.725,1.413,0.867
2863,0.796,0.543,2.859,0.597
2375,0.775,0.853,,0.699
2132,0.776,0.849,2.793,0.885
1026,1.454,,1.393,
2989,,0.48,1.934,1.128
961,0.893,0.541,1.28,2.508
2889,0.948,0.762,1.353,0.539
3021,1.304,,1.606,1.28
3015,1.419,0.488,,0.576
4267,0.845,,2.653,
3338,0.78,,,1.48
2009,1.471,0.486,1.774,1.17
2149,0.775,0.355,2.163,0.847
3948,0.769,0.791,2.754,4.315
